date,sqft_backlog_rolling_year
2018-11-13,34625.43143859649
2018-11-14,34624.487578947366
2018-11-15,33933.29810526316
2018-11-16,33762.42442105263
2018-11-17,33820.51042253521
2018-11-18,33702.96477192982
2018-11-19,33897.89810526316
2018-11-20,33913.199859649125
2018-11-21,33945.30863157895
2018-11-22,33988.23577464789
2018-11-23,33988.23577464789
2018-11-24,33988.23577464789
2018-11-25,33988.23577464789
2018-11-26,33902.56828070175
2018-11-27,33849.52792982456
2018-11-28,33763.97003508772
2018-11-29,33668.6261754386
2018-11-30,33676.689333333336
2018-12-01,33765.72345070422
2018-12-02,33765.72345070422
2018-12-03,33677.8261754386
2018-12-04,33688.07178947368
2018-12-05,33797.15950877193
2018-12-06,33904.60512280702
2018-12-07,33915.257754385966
2018-12-08,34026.12485915493
2018-12-09,34026.12485915493
2018-12-10,34113.417112676056
2018-12-11,34077.60021126761
2018-12-12,34110.542112676056
2018-12-13,33630.6547887324
2018-12-14,33668.16535211268
2018-12-15,33463.98219081272
2018-12-16,33463.98219081272
2018-12-17,33662.32028169014
2018-12-18,33683.19
2018-12-19,33432.07028169014
2018-12-20,33386.98929577465
2018-12-21,33438.855492957744
2018-12-22,33499.65003533569
2018-12-23,33382.82028169014
2018-12-24,33268.494596491226
2018-12-25,33268.494596491226
2018-12-26,33232.81104895105
2018-12-27,33187.18517482517
2018-12-28,32998.74461538462
2018-12-29,31811.178807017543
2018-12-30,31811.178807017543
2018-12-31,31814.105122807017
2019-01-01,31814.105122807017
2019-01-02,31831.30161403509
2019-01-03,33499.12266666667
2019-01-04,33659.084070175435
2019-01-05,33752.714647887326
2019-01-06,33752.714647887326
2019-01-07,33743.512140350875
2019-01-08,33731.98231578947
2019-01-09,33744.5858245614
2019-01-10,34336.41389473684
2019-01-11,34950.30512280702
2019-01-12,35047.362535211265
2019-01-13,35169.20833922261
2019-01-14,35087.08788732394
2019-01-15,35134.073543859646
2019-01-16,35131.03494736842
2019-01-17,35073.03494736842
2019-01-18,35074.41389473684
2019-01-19,35104.63366197183
2019-01-20,35227.86558303887
2019-01-21,35227.86558303887
2019-01-22,35282.29314487633
2019-01-23,35357.89738515901
2019-01-24,35381.56169611307
2019-01-25,34702.58996466431
2019-01-26,34644.607632508836
2019-01-27,34644.607632508836
2019-01-28,34665.58996466431
2019-01-29,34680.45922261484
2019-01-30,34652.09173144876
2019-01-31,34660.35674911661
2019-02-01,34569.731307420494
2019-02-02,34599.83673758865
2019-02-03,34599.83673758865
2019-02-04,34631.712624113476
2019-02-05,33627.11687943262
2019-02-06,33745.95730496454
2019-02-07,33531.74808510638
2019-02-08,33488.16652482269
2019-02-09,33540.377081850536
2019-02-10,33540.377081850536
2019-02-11,33470.55659574468
2019-02-12,33504.69489361702
2019-02-13,33905.25872340426
2019-02-14,33890.82255319149
2019-02-15,33912.37219858156
2019-02-16,33924.86462633452
2019-02-17,33924.86462633452
2019-02-18,34043.91057142857
2019-02-19,35158.43758007117
2019-02-20,35170.86818505338
2019-02-21,35196.184911032025
2019-02-22,35238.530106761566
2019-02-23,35327.93914285714
