date,type,value
2011-10-30,Accessory Dwelling Unit,83.80874316939891
2011-10-31,Accessory Dwelling Unit,83.80874316939891
2011-11-01,Accessory Dwelling Unit,85.72677595628416
2011-11-02,Accessory Dwelling Unit,85.72677595628416
2011-11-03,Accessory Dwelling Unit,87.70491803278688
2011-11-04,Accessory Dwelling Unit,90.77322404371584
2011-11-05,Accessory Dwelling Unit,90.77322404371584
2011-11-06,Accessory Dwelling Unit,90.77322404371584
2011-11-07,Accessory Dwelling Unit,94.34426229508196
2011-11-08,Accessory Dwelling Unit,94.34426229508196
2011-11-09,Accessory Dwelling Unit,94.34426229508196
2011-11-10,Accessory Dwelling Unit,92.74590163934427
2011-11-11,Accessory Dwelling Unit,92.74590163934427
2011-11-12,Accessory Dwelling Unit,92.74590163934427
2011-11-13,Accessory Dwelling Unit,92.74590163934427
2011-11-14,Accessory Dwelling Unit,92.74590163934427
2011-11-15,Accessory Dwelling Unit,94.59836065573771
2011-11-16,Accessory Dwelling Unit,94.59836065573771
2011-11-17,Accessory Dwelling Unit,90.12021857923497
2011-11-18,Accessory Dwelling Unit,90.12021857923497
2011-11-19,Accessory Dwelling Unit,88.33879781420765
2011-11-20,Accessory Dwelling Unit,85.71584699453553
2011-11-21,Accessory Dwelling Unit,85.71584699453553
2011-11-22,Accessory Dwelling Unit,85.71584699453553
2011-11-23,Accessory Dwelling Unit,87.09016393442623
2011-11-24,Accessory Dwelling Unit,87.09016393442623
2011-11-25,Accessory Dwelling Unit,84.77868852459017
2011-11-26,Accessory Dwelling Unit,84.77868852459017
2011-11-27,Accessory Dwelling Unit,84.77868852459017
2011-11-28,Accessory Dwelling Unit,84.77868852459017
2011-11-29,Accessory Dwelling Unit,84.77868852459017
2011-11-30,Accessory Dwelling Unit,84.77868852459017
2011-12-01,Accessory Dwelling Unit,84.77868852459017
2011-12-02,Accessory Dwelling Unit,84.77868852459017
2011-12-03,Accessory Dwelling Unit,83.52185792349727
2011-12-04,Accessory Dwelling Unit,82.8360655737705
2011-12-05,Accessory Dwelling Unit,82.8360655737705
2011-12-06,Accessory Dwelling Unit,82.8360655737705
2011-12-07,Accessory Dwelling Unit,82.8360655737705
2011-12-08,Accessory Dwelling Unit,84.88524590163935
2011-12-09,Accessory Dwelling Unit,83.94262295081967
2011-12-10,Accessory Dwelling Unit,83.94262295081967
2011-12-11,Accessory Dwelling Unit,83.94262295081967
2011-12-12,Accessory Dwelling Unit,83.94262295081967
