date,type,value
2012-04-27,Commercial,1621.4726775956285
2012-04-28,Commercial,1621.4726775956285
2012-04-29,Commercial,1621.4726775956285
2012-04-30,Commercial,1621.4726775956285
2012-05-01,Commercial,1650.4071038251366
2012-05-02,Commercial,1650.4071038251366
2012-05-03,Commercial,1650.4071038251366
2012-05-04,Commercial,1650.4071038251366
2012-05-05,Commercial,1650.4071038251366
2012-05-06,Commercial,1645.8715846994535
2012-05-07,Commercial,1645.8715846994535
2012-05-08,Commercial,1645.8715846994535
2012-05-09,Commercial,1707.0765027322404
2012-05-10,Commercial,1707.0765027322404
2012-05-11,Commercial,1707.0765027322404
2012-05-12,Commercial,1693.6147540983607
2012-05-13,Commercial,1693.6147540983607
2012-05-14,Commercial,1693.6147540983607
2012-05-15,Commercial,1693.6147540983607
2012-05-16,Commercial,1693.6147540983607
2012-05-17,Commercial,1693.6147540983607
2012-05-18,Commercial,1693.6147540983607
2012-05-19,Commercial,1693.6147540983607
2012-05-20,Commercial,1693.6147540983607
2012-05-21,Commercial,1693.6147540983607
2012-05-22,Commercial,1693.6147540983607
2012-05-23,Commercial,1700.2540983606557
2012-05-24,Commercial,1700.2540983606557
2012-05-25,Commercial,1700.2540983606557
2012-05-26,Commercial,1700.2540983606557
2012-05-27,Commercial,1700.2540983606557
2012-05-28,Commercial,1700.2540983606557
2012-05-29,Commercial,1700.2540983606557
2012-05-30,Commercial,1700.2540983606557
2012-05-31,Commercial,1700.2540983606557
2012-06-01,Commercial,1700.2540983606557
2012-06-02,Commercial,1700.2540983606557
2012-06-03,Commercial,1700.2540983606557
2012-06-04,Commercial,1700.2540983606557
2012-06-05,Commercial,1700.8661202185792
2012-06-06,Commercial,1700.8661202185792
2012-06-07,Commercial,1698.5054644808743
2012-06-08,Commercial,1698.5054644808743
2012-06-09,Commercial,1698.5054644808743
2012-06-10,Commercial,1698.5054644808743
2012-06-11,Commercial,1698.5054644808743
2012-06-12,Commercial,1698.5054644808743
2012-06-13,Commercial,1698.5054644808743
2012-06-14,Commercial,1699.6530054644809
2012-06-15,Commercial,1698.9972677595629
2012-06-16,Commercial,1698.9972677595629
2012-06-17,Commercial,1690.172131147541
2012-06-18,Commercial,1690.172131147541
2012-06-19,Commercial,1690.172131147541
2012-06-20,Commercial,1690.172131147541
2012-06-21,Commercial,1690.172131147541
2012-06-22,Commercial,1680.9918032786886
2012-06-23,Commercial,1680.9918032786886
2012-06-24,Commercial,1680.5983606557377
2012-06-25,Commercial,1680.5983606557377
2012-06-26,Commercial,1680.5983606557377
2012-06-27,Commercial,1680.5983606557377
2012-06-28,Commercial,1682.4617486338798
2012-06-29,Commercial,1682.4617486338798
2012-06-30,Commercial,1682.4617486338798
2012-07-01,Commercial,1682.4617486338798
2012-07-02,Commercial,1682.4617486338798
2012-07-03,Commercial,1682.4617486338798
2012-07-04,Commercial,1682.4617486338798
2012-07-05,Commercial,1682.4617486338798
2012-07-06,Commercial,1693.3524590163934
2012-07-07,Commercial,1693.3524590163934
2012-07-08,Commercial,1693.3524590163934
2012-07-09,Commercial,1693.3524590163934
2012-07-10,Commercial,1698.4016393442623
2012-07-11,Commercial,1698.4016393442623
2012-07-12,Commercial,1698.4016393442623
2012-07-13,Commercial,1698.4016393442623
2012-07-14,Commercial,1688.155737704918
2012-07-15,Commercial,1688.155737704918
2012-07-16,Commercial,1688.155737704918
2012-07-17,Commercial,1688.155737704918
2012-07-18,Commercial,1688.155737704918
2012-07-19,Commercial,1686.3524590163934
2012-07-20,Commercial,1686.3524590163934
2012-07-21,Commercial,1686.3524590163934
2012-07-22,Commercial,1686.3524590163934
2012-07-23,Commercial,1686.3524590163934
2012-07-24,Commercial,1686.3524590163934
2012-07-25,Commercial,1686.3524590163934
